,accuracy,per_digit_accuracy
len = 1-15,0.992,0.9978098484848485
len = 16-30,0.991,0.997830070247303
len = 31-60,0.969,0.9961101961102098
len = 61-100,0.699,0.9248910026889043
len = 1-100,0.93,0.9846681744643083
