,accuracy,per_digit_accuracy
len = 1-5,0.978,0.9925166666666664
len = 6-15,0.961,0.9951726329226325
len = 16-30,0.871,0.981427195621188
len = 1-30,0.9326666666666666,0.9931483483147605
